,hockey_score_total_away,hockey_score_total_home,hockey_away_winner,hockey_home_winner,hockey_team_1,isaway1,hockey_team_2,isaway2,hockey_score_away,hockey_score_home,hockey_ml_away,hockey_ml_home,hockey_spread_line_away,hockey_spread_line_home,hockey_spread_line_away_money,hockey_spread_line_home_money,hockey_spread_line_away_delta,hockey_spread_line_home_delta,hockey_over,hockey_over_money,hockey_under_money,hockey_over_money_delta,hockey_under_money_delta,hockey_over_delta,hockey_date_updated
452,4,5,0,1,Vegas Golden Knights,True,New Jersey Devils,False,"[3, 1, 0, 0]","[0, 2, 2, 1]",-140.0,130.0,-1.5,1.5,190.0,-210.0,-10.0,10.0,6.0,-110.0,100.0,4.0,-4.0,0.0,2018-12-15T00:05:05.518365Z
453,3,4,0,1,Detroit Red Wings,True,New York Islanders,False,"[2, 0, 1, 0, 0]","[1, 0, 2, 0, 1]",190.0,-210.0,1.5,-1.5,-135.0,125.0,10.0,-10.0,6.0,103.0,-113.0,-2.0,2.0,0.0,2018-12-15T23:00:49.828867Z
454,7,3,1,0,San Jose Sharks,True,Chicago Blackhawks,False,"[2, 3, 2]","[3, 0, 0]",-155.0,145.0,-1.5,1.5,175.0,-190.0,-1277.0,1712.0,6.5,102.0,-112.0,-3.0,3.0,0.0,2018-12-16T23:43:07.647899Z
455,2,5,0,1,Ottawa Senators,True,Montreal Canadiens,False,"[1, 1, 0]","[1, 0, 4]",225.0,-245.0,1.5,-1.5,-110.0,100.0,-210.0,210.0,6.5,-115.0,105.0,-2.0,2.0,0.0,2018-12-15T23:54:07.698058Z
456,4,6,0,1,Dallas Stars,True,Colorado Avalanche,False,"[0, 2, 2]","[3, 1, 2]",145.0,-155.0,1.5,-1.5,-188.0,173.0,2.0,-2.0,6.0,105.0,-115.0,1.0,-1.0,0.0,2018-12-15T21:25:37.649463Z
457,0,3,0,1,Arizona Coyotes,True,Carolina Hurricanes,False,"[0, 0, 0]","[0, 2, 1]",157.0,-167.0,1.5,-1.5,-180.0,168.0,-5.0,3.0,6.0,115.0,-125.0,10.0,-10.0,0.0,2018-12-16T17:11:24.670079Z
458,3,4,0,1,Buffalo Sabres,True,Washington Capitals,False,"[1, 2, 0, 0, 0]","[2, 1, 0, 0, 1]",130.0,-140.0,1.5,-1.5,-188.0,173.0,2.0,-2.0,6.5,-105.0,-105.0,4.0,-4.0,0.0,2018-12-15T23:19:37.484898Z
459,7,2,1,0,Calgary Flames,True,St. Louis Blues,False,"[4, 1, 2]","[0, 2, 0]",-114.0,104.0,-1.5,1.5,240.0,-260.0,17.0,-17.0,6.0,-104.0,-106.0,1.0,-1.0,0.0,2018-12-16T15:26:23.815098Z
460,3,4,0,1,Los Angeles Kings,True,Pittsburgh Penguins,False,"[0, 2, 1, 0]","[2, 1, 0, 1]",165.0,-175.0,1.5,-1.5,-153.0,143.0,2.0,-2.0,6.0,-109.0,-101.0,1.0,-201.0,0.0,2018-12-15T14:34:59.974507Z
461,4,2,1,0,Buffalo Sabres,True,Boston Bruins,False,"[0, 1, 3]","[0, 1, 1]",170.0,-185.0,1.5,-1.5,-165.0,155.0,10.0,-10.0,5.5,-110.0,100.0,5.0,-5.0,0.0,2018-12-16T21:48:13.329085Z
462,1,5,0,1,Philadelphia Flyers,True,Vancouver Canucks,False,"[1, 0, 0]","[3, 1, 1]",-102.0,-108.0,1.5,-1.5,-240.0,220.0,5.0,-5.0,6.5,-105.0,-105.0,5.0,-205.0,0.0,2018-12-16T02:56:21.321945Z
463,2,1,1,0,Anaheim Ducks,True,Columbus Blue Jackets,False,"[1, 0, 0, 1]","[1, 0, 0, 0]",161.0,-171.0,1.5,-1.5,-165.0,155.0,5.0,-5.0,6.0,103.0,-113.0,2.0,-2.0,0.0,2018-12-15T23:53:53.515232Z
464,4,5,0,1,Tampa Bay Lightning,True,Winnipeg Jets,False,"[1, 2, 1, 0]","[1, 2, 1, 1]",-110.0,100.0,-1.5,1.5,243.0,-263.0,3.0,-3.0,6.5,-125.0,115.0,-5.0,5.0,0.0,2018-12-16T23:50:11.098525Z
465,1,2,0,1,New Jersey Devils,True,Nashville Predators,False,"[0, 0, 1, 0, 0]","[1, 0, 0, 0, 1]",180.0,-195.0,1.5,-1.5,-135.0,125.0,5.0,-5.0,5.5,-123.0,113.0,-3.0,3.0,0.0,2018-12-15T23:57:16.995833Z
